run_key,algorithm,dataset,n_layers,n_qubits,prune_ratio,drop_prob,accumulate_window,prune_window,n_drop_wires,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
both_MUTAG_L1_Q4_PR0.9_AW10_PW8_DP0.5_NW1,both,MUTAG,1,4,0.9,0.5,10,8,1,0.7657894736842106,0.0826451526991307,0.8114705882352942,0.09570314964946247,0.8692307692307691,0.10700329033264275,0.8309790263294156,0.05855392266850689,0.7478479853479854,0.12716101685404818,0.8704072650312826,0.06079427360214034
both_MUTAG_L1_Q4_PR0.9_AW10_PW8_DP0.7_NW1,both,MUTAG,1,4,0.9,0.7,10,8,1,0.7283625730994153,0.12184565229618206,0.8284126984126983,0.09945353332589692,0.7608974358974359,0.1785702310469849,0.7798294298294298,0.11582706469831736,0.7489468864468863,0.1307105803798476,0.8773984407499084,0.06205321202363816
both_MUTAG_L1_Q8_PR0.5_AW10_PW8_DP0.3_NW1,both,MUTAG,1,8,0.5,0.3,10,8,1,0.7546783625730995,0.08438547859460356,0.8278269537480064,0.09776322213230698,0.8275641025641025,0.14672207354009595,0.8138813046856525,0.07020248643599798,0.7176282051282051,0.17199350661156357,0.8612154568576484,0.08655728434846954
both_MUTAG_L1_Q8_PR0.5_AW10_PW8_DP0.5_NW1,both,MUTAG,1,8,0.5,0.5,10,8,1,0.7497076023391813,0.10857524820019146,0.856897546897547,0.08003485713255011,0.7506410256410256,0.1335873443359528,0.7947216680260158,0.09786017804545079,0.7594474969474969,0.11439998843611952,0.8850885099686154,0.05652762809548367
both_MUTAG_L1_Q8_PR0.5_AW10_PW8_DP0.7_NW1,both,MUTAG,1,8,0.5,0.7,10,8,1,0.7546783625730995,0.08103636453556935,0.8450963218068482,0.09044710977249026,0.7961538461538462,0.1410489491228212,0.8075995763495764,0.06960725021717752,0.7650793650793651,0.10833050786044128,0.8791305615416267,0.058860197931214615
both_MUTAG_L1_Q8_PR0.8_AW10_PW8_DP0.3_NW1,both,MUTAG,1,8,0.8,0.3,10,8,1,0.760233918128655,0.08012976377803929,0.8339777473988,0.09744652914764974,0.8282051282051281,0.13585509742026258,0.818590299394647,0.062439229117145105,0.7418956043956044,0.1347386992672365,0.8750605775593867,0.06504663690896396
both_MUTAG_L1_Q8_PR0.8_AW10_PW8_DP0.5_NW1,both,MUTAG,1,8,0.8,0.5,10,8,1,0.7654970760233919,0.07661488297151961,0.8551526543631807,0.0860209343104789,0.7967948717948717,0.11781800170310262,0.8163558410188845,0.06097928155760362,0.7668956043956043,0.11804497491246316,0.8839138848827911,0.05881696725234234
both_MUTAG_L1_Q8_PR0.8_AW10_PW8_DP0.7_NW1,both,MUTAG,1,8,0.8,0.7,10,8,1,0.7391812865497076,0.1166648345867376,0.8066444958550223,0.11130887444738029,0.823076923076923,0.13256063081304198,0.8059088966588968,0.08630514433580218,0.751541514041514,0.13350478052060602,0.8812560066875827,0.06399237700354916
both_MUTAG_L1_Q8_PR0.9_AW10_PW8_DP0.3_NW1,both,MUTAG,1,8,0.9,0.3,10,8,1,0.7497076023391813,0.09200263473804156,0.8153812561707298,0.11699296121115507,0.8538461538461538,0.12684535304749478,0.819451736344794,0.05877525403291508,0.7260378510378511,0.1646986218257873,0.8629353922216062,0.08525967897750107
both_MUTAG_L1_Q8_PR0.9_AW10_PW8_DP0.5_NW1,both,MUTAG,1,8,0.9,0.5,10,8,1,0.7391812865497076,0.1166648345867376,0.8744852661957925,0.07939540349472622,0.7346153846153846,0.20894289522457032,0.7711340056883536,0.14758745972436582,0.7642246642246642,0.13116271733735071,0.8833490595468895,0.06446707336318554
both_MUTAG_L1_Q8_PR0.9_AW10_PW8_DP0.7_NW1,both,MUTAG,1,8,0.9,0.7,10,8,1,0.7339181286549707,0.12016085339986932,0.8265740107845371,0.10838136621202041,0.7814102564102565,0.17811863793037566,0.7886846373179325,0.10601008814177645,0.7618894993894993,0.13520709776274165,0.88088850476733,0.06346567833780736
both_PROTEINS_L1_Q4_PR0.5_AW10_PW8_DP0.3_NW1,both,PROTEINS,1,4,0.5,0.3,10,8,1,0.692720398970399,0.03562860841140595,0.6657298234186106,0.07153105936097519,0.5000000000000001,0.11298421172343254,0.5608880358953288,0.0873360846684673,0.6522923262475501,0.0702288317857332,0.6197859653294016,0.07500289646706128
both_PROTEINS_L1_Q4_PR0.5_AW10_PW8_DP0.5_NW1,both,PROTEINS,1,4,0.5,0.5,10,8,1,0.6864140926640927,0.026064091022040808,0.6291077053993914,0.0470178359569516,0.5644444444444444,0.0751623756679456,0.590602917586261,0.04407546284871318,0.6621350319111513,0.042734908249820375,0.6142440582577281,0.05613801041087559
both_PROTEINS_L1_Q4_PR0.5_AW10_PW8_DP0.7_NW1,both,PROTEINS,1,4,0.5,0.7,10,8,1,0.6891570141570141,0.02754087373858125,0.6379572984897343,0.056163831969197366,0.5555555555555556,0.05621826951410454,0.5903672642409036,0.032077266929683025,0.650905824413287,0.06096537404932703,0.6103651323590014,0.05797944249189354
both_PROTEINS_L1_Q4_PR0.8_AW10_PW8_DP0.3_NW1,both,PROTEINS,1,4,0.8,0.3,10,8,1,0.6828426640926641,0.028564934174490304,0.6236611981490101,0.04246773410172607,0.5533333333333333,0.09451631252505216,0.5816040144836764,0.05620491795853216,0.6587826021408111,0.057888486817104165,0.61131039003202,0.07121372970534572
both_PROTEINS_L1_Q4_PR0.8_AW10_PW8_DP0.5_NW1,both,PROTEINS,1,4,0.8,0.5,10,8,1,0.6810006435006435,0.0430814369427338,0.6413007410321988,0.0914540430598803,0.5244444444444444,0.0689963319833779,0.5702014365376862,0.04560721661727649,0.6456246545052515,0.05280200280702892,0.6093963715168834,0.06242390599213799
both_PROTEINS_L1_Q4_PR0.8_AW10_PW8_DP0.7_NW1,both,PROTEINS,1,4,0.8,0.7,10,8,1,0.6846122908622909,0.04216349604585585,0.63233980620253,0.0689143747487288,0.5577777777777777,0.07597920443235004,0.5875201923589393,0.04873709308639778,0.6617299864314791,0.05739167475393333,0.626551392095106,0.07288444326082698
both_PROTEINS_L1_Q4_PR0.9_AW10_PW8_DP0.3_NW1,both,PROTEINS,1,4,0.9,0.3,10,8,1,0.6792631917631917,0.026130781581148392,0.6317358830449751,0.06165139541475511,0.5311111111111111,0.08101211614914748,0.5695138099916679,0.044938044906274774,0.6562880044223329,0.05863058799483901,0.609912173172219,0.04829235994896768
both_PROTEINS_L1_Q4_PR0.9_AW10_PW8_DP0.5_NW1,both,PROTEINS,1,4,0.9,0.5,10,8,1,0.6981016731016731,0.02997853263558256,0.6599475764993461,0.07610370437356091,0.5555555555555556,0.08073734277593311,0.5959227726942533,0.04382658057364744,0.670956078194884,0.04736769210684196,0.6147454993099504,0.07174707534941398
both_PROTEINS_L1_Q4_PR0.9_AW10_PW8_DP0.7_NW1,both,PROTEINS,1,4,0.9,0.7,10,8,1,0.6873632561132561,0.02715056231457961,0.6963005469982215,0.117246293722727,0.4888888888888888,0.17270541535755954,0.5342843415427685,0.1505266372851576,0.6359508015478165,0.0718874591045821,0.602248057092794,0.06359687062893866
both_PROTEINS_L1_Q8_PR0.5_AW10_PW8_DP0.3_NW1,both,PROTEINS,1,8,0.5,0.3,10,8,1,0.6873712998712999,0.02846934046830478,0.6536442809560683,0.07562143102517548,0.5311111111111111,0.1000987167071574,0.5740373218465276,0.054148149070491196,0.648303683602191,0.05464329162900646,0.6093279586184723,0.05780288764647419
both_PROTEINS_L1_Q8_PR0.5_AW10_PW8_DP0.5_NW1,both,PROTEINS,1,8,0.5,0.5,10,8,1,0.6927043114543114,0.022815281341160364,0.6558035170883468,0.06375935224291128,0.5444444444444445,0.09545214042184234,0.5849152462142224,0.04603210667407661,0.6624275089200462,0.04703330486489243,0.6209520037512959,0.05629069528916106
both_PROTEINS_L1_Q8_PR0.5_AW10_PW8_DP0.7_NW1,both,PROTEINS,1,8,0.5,0.7,10,8,1,0.6864221364221365,0.03182764119528327,0.6430086081643611,0.05104708876103834,0.5088888888888888,0.08222222222222221,0.5646472116865254,0.0595802063133962,0.6401791547313935,0.06852075103574332,0.6075970319217856,0.06877531980669417
both_PROTEINS_L1_Q8_PR0.8_AW10_PW8_DP0.3_NW1,both,PROTEINS,1,8,0.8,0.3,10,8,1,0.6936052123552123,0.03333759660185567,0.6434175454460306,0.05989872834606979,0.5644444444444445,0.07041324230113272,0.5971435687314975,0.0445753257270119,0.6707666214382633,0.038365614233376054,0.6224548843744901,0.055915360149186966
both_PROTEINS_L1_Q8_PR0.8_AW10_PW8_DP0.5_NW1,both,PROTEINS,1,8,0.8,0.5,10,8,1,0.6873149935649936,0.032420676879209805,0.6289349256141433,0.056267385734116875,0.5711111111111111,0.05713315614303308,0.5957664278221736,0.03923907430132892,0.6596137996884266,0.06009227176465411,0.6084949311344854,0.06052072167754518
both_PROTEINS_L1_Q8_PR0.8_AW10_PW8_DP0.7_NW1,both,PROTEINS,1,8,0.8,0.7,10,8,1,0.6765846203346204,0.03655979705572867,0.6482867889919721,0.09829729423551976,0.5,0.10387551904462437,0.5512402510158255,0.055299615487865515,0.6398123021257349,0.0530764116497494,0.6013528936108352,0.04572141763707017
both_PROTEINS_L1_Q8_PR0.9_AW10_PW8_DP0.3_NW1,both,PROTEINS,1,8,0.9,0.3,10,8,1,0.691819498069498,0.02575480316038925,0.6567735407393951,0.0632157627386852,0.5311111111111112,0.12067710206564858,0.5742710853977486,0.07614207363851039,0.6590288456706367,0.04844295040804865,0.6090290340608157,0.05359680460258908
both_PROTEINS_L1_Q8_PR0.9_AW10_PW8_DP0.5_NW1,both,PROTEINS,1,8,0.9,0.5,10,8,1,0.6827702702702704,0.03785066053445449,0.6279725398279237,0.05869998830433597,0.5377777777777778,0.07423685817106696,0.5765937059156946,0.05651046895756516,0.6413435348509976,0.05538308215124223,0.6030823340925404,0.04206425091746798
both_PROTEINS_L1_Q8_PR0.9_AW10_PW8_DP0.7_NW1,both,PROTEINS,1,8,0.9,0.7,10,8,1,0.6945141570141571,0.02835925661087691,0.669962022371998,0.09583784296276461,0.5266666666666666,0.06289320754704401,0.5813038836128437,0.026738530314699246,0.6575684707774261,0.05344928871494308,0.6220969062557775,0.06281801774998695
